2.660000000000000909e+03	2.232000000000000455e+03
2.290000000000000000e+03	2.647999999999999545e+03
2.395000000000000000e+03	2.476999999999999545e+03
2.397000000000000909e+03	2.465000000000000455e+03
2.235000000000000455e+03	2.860000000000000000e+03
2.334000000000000000e+03	2.544000000000000000e+03
2.299000000000000000e+03	2.579000000000000455e+03
2.559000000000000000e+03	2.280000000000000000e+03
2.391999999999999545e+03	2.477000000000000000e+03
2.371000000000000455e+03	2.482000000000000000e+03
2.429999999999999091e+03	2.432000000000000000e+03
2.525999999999999545e+03	2.300000000000000000e+03
2.589999999999999545e+03	2.256999999999999545e+03
2.649999999999999545e+03	2.242000000000000455e+03
2.609000000000000000e+03	2.252000000000000455e+03
2.448999999999999545e+03	2.376000000000000455e+03
2.356999999999999545e+03	2.512000000000000000e+03
2.265000000000000000e+03	2.595000000000000000e+03
2.371000000000000000e+03	2.482000000000000455e+03
2.299000000000000455e+03	2.579000000000000000e+03
2.334000000000000455e+03	2.544000000000000000e+03
2.469000000000000000e+03	2.345000000000000000e+03
2.244000000000000455e+03	2.720000000000000000e+03
2.562000000000000000e+03	2.262000000000000000e+03
2.356999999999999545e+03	2.512000000000000000e+03
2.358999999999999545e+03	2.510000000000000455e+03
2.491000000000000000e+03	2.335000000000000000e+03
2.525999999999999545e+03	2.300000000000000455e+03
2.403000000000000000e+03	2.433000000000000000e+03
2.429000000000000455e+03	2.418000000000000455e+03
2.356999999999999545e+03	2.512000000000000000e+03
2.694000000000000455e+03	2.231000000000000000e+03
2.449000000000000000e+03	2.376000000000000000e+03
2.323999999999999545e+03	2.545000000000000000e+03
2.497999999999999545e+03	2.305000000000000000e+03
2.324000000000000455e+03	2.544999999999999545e+03
2.323999999999999545e+03	2.545000000000000455e+03
2.244000000000000455e+03	2.720000000000000000e+03
2.357000000000000455e+03	2.511999999999999091e+03
2.433999999999999545e+03	2.379999999999999545e+03
2.392000000000000000e+03	2.476999999999999545e+03
2.462000000000000000e+03	2.375000000000000000e+03
